Name,Size,Type,Align.,AC,HP,Speeds,STR,DEX,CON,INT,WIS,CHA,Sav. Throws,Skills,WRI,Senses,Languages,CR,Additional,Font,Additional Info,Author
Salamander,Large,Elemental,NE,15,90,30,18,14,15,11,10,12,None,None,"Coldweak, nonmagicalres, fireimmu",Darkvision 60,Ignan,5,Heated Body,Monster Manual,,Wizards of the Coast
Satyr,Medium,Fey,CN,14,31,40,12,16,11,12,10,14,None,"Perception, Performance, Stealth",None,Normal,"Common, Elvish, Sylvan",0.5,Magic Resistance,Monster Manual,,Wizards of the Coast
Scorpion,Tiny,Beast,U,11,1,10,2,11,8,1,8,2,None,None,None,Normal,None,0,None,Monster Manual,,Wizards of the Coast
Scout,Medium,Humanoid,ANY,13,16,30,11,14,12,11,13,11,None,"Nature, Perception, Stealth, Survival",None,Normal,Any,0.5,"Keen Hearing, Keen Sight",Monster Manual,,Wizards of the Coast
Sea Hag,Medium,Fey,CE,14,52,"30, swim 40",16,13,16,12,12,13,None,None,None,Darkvision 60,"Aquan, Common, Giant",2,"Amphibious, Horrific Appearance",Monster Manual,,Wizards of the Coast
Sea Horse,Tiny,Beast,U,11,1,swim 20,1,12,8,1,10,2,None,None,None,Normal,None,0,Water Breathing,Monster Manual,,Wizards of the Coast
Shadow,Medium,Fiend (Demon),CE,13,66,"30, fly 30",1,17,12,14,13,14,"DEX, CHA",Stealth,"Radiantweak, acidres, fireres, necroticres, thunderres, nonmagicalres, coldimmu, lightningimmu, poisonimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu",Darkvision 120,"Abyssal, telepathy 120",4,"Incorporeal Movement, Light Sensitivity, Shadow Stealth",Monster Manual,,Wizards of the Coast
Shadow,Medium,Undead,CE,12,16,40,6,14,13,6,10,8,None,Stealth,"Radiantweak, acidres, coldres, fireres, lightningres, thunderres, nonmagicalres, necroticimmu, poisonimmu, exhaustionimmu, frightenedimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu",Darkvision 60,None,0.5,"Amorphous, Shadow Stealth, Sunlight Weakness",Monster Manual,,Wizards of the Coast
Shambling Mound,Large,Plant,U,15,136,"20, swim 20",18,8,16,5,10,5,None,Stealth,"Coldres, fireres, lightningimmu, blindedimmu, deafenedimmu, exhaustionimmu",Blindsight 60,None,5,Lightning Absorption,Monster Manual,,Wizards of the Coast
Shield Guardian,Large,Construct,U,17,142,30,18,8,18,7,10,3,None,None,"Poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu","Blindsight 10, darkvision 60",Any,7,"Bound, Regeneration, Spell Storing",Monster Manual,,Wizards of the Coast
Shrieker,Medium,Plant,U,5,13,None,1,1,10,1,10,3,None,None,"Blindedimmu, deafenedimmu, frightenedimmu",Blindsight 30,None,0,False Appearance,Monster Manual,,Wizards of the Coast
Silver Dragon Wyrmling,Medium,Dragon,LG,17,45,"30, fly 60",19,10,17,12,11,15,"DEX, CON, WIS, CHA","Perception, Stealth",Coldimmu,"Blindsight 10, darkvision 60",Draconic,2,None,Monster Manual,,Wizards of the Coast
Skeleton,Medium,Undead,LE,13,13,30,10,14,15,6,8,5,None,None,"Bludgeoningweak, poisonimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Any,0.25,None,Monster Manual,,Wizards of the Coast
Solar,Large,Celestial,LG,21,243,"50, 150 fly",26,22,26,25,25,30,"INT, WIS, CHA",Perception,"Radiantres, nonmagicalres, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonimmu",Truesight 120,"All, telepathy 120",21,"Angelic Weapons, Divine Awareness, Innate Spellcasting, Magic Resistance, Legendary",Monster Manual,,Wizards of the Coast
Specter,Medium,Undead,CE,12,22,fly 50,1,14,11,10,10,11,None,None,"Acidres, coldres, fireres, lightningres, thunderres, nonmagicalres, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu, unconsciousimmu",Darkvision 60,Any,1,"Incorporeal Movement, Sunlight Sensitivity",Monster Manual,,Wizards of the Coast
Spider,Tiny,Beast,U,12,1,"20, climb 20",2,14,8,1,10,2,None,Stealth,None,Darkvision 30,None,0,"Spider Climb, Web Sense, Web Walker",Monster Manual,,Wizards of the Coast
Spirit Naga,Large,Monstrosity,CE,15,75,40,18,17,14,16,15,16,"DEX, CON, INT, WIS, CHA",None,"Poisonimmu, charmedimmu, poisonedimmu",Darkvision 60,Abyssal Common,8,"Rejuvenation, Normal Spellcasting",Monster Manual,,Wizards of the Coast
Sprite,Tiny,Fey,NG,15,2,"10, fly 40",3,18,10,14,13,11,None,"Perception, Stealth",None,Normal,"Common, Elvish, Sylvan",0.25,None,Monster Manual,,Wizards of the Coast
Spy,Medium,Humanoid,ANY,12,27,30,10,15,10,12,14,16,None,"Deception, Insight, Investigation, Perception, Persuasion, Sleight of Hand, Stealth",None,Normal,Any,1,"Cunning Action, Sneak Attack",Monster Manual,,Wizards of the Coast
Steam Mephit,Small,Elemental,NE,10,21,"30, fly 30",5,11,10,11,10,12,None,None,"Fireimmu, poisonimmu, poisonedimmu",Darkvision 60,"Aquan, Ignan",0.25,"Death Burst, Innate Spellcasting",Monster Manual,,Wizards of the Coast
Stirge,Tiny,Beast,U,14,2,"10, fly 40",4,16,11,2,8,6,None,None,None,Darkvision 60,None,0.125,None,Monster Manual,,Wizards of the Coast
Stone Giant,Huge,Giant,N,17,126,40,23,15,20,10,12,9,"DEX, CON, WIS","Athletics, Perception",None,Darkvision 60,Giant,7,Stone Camouflage,Monster Manual,,Wizards of the Coast
Stone Golem,Large,Construct,U,17,178,30,22,9,20,3,11,1,None,None,"Poisonimmu, pyschicimmu, nonadamantineimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu,  poisonedimmu",Darkvision 120,Creator,10,"Immutable Form, Magic Resistance, Magic Weapons",Monster Manual,,Wizards of the Coast
Storm Giant,Huge,Giant,CG,16,230,"50, swim 50",29,14,20,16,18,18,"STR, CON, WIS, CHA","Arcana, Athletics, History, Perception","Coldres, lightningimmu, thunderimmu",Normal,"Common, Giant",13,"Amphibious, Innate Spellcasting",Monster Manual,,Wizards of the Coast
Succubus/Incubus,Medium,Fiend,NE,15,66,"30, fly 60",8,17,13,15,12,20,None,"Deception, Insight, Perception, Persuasion, Stealth","Coldres, fireres, lightningres, poisonres, nonmagicalres",Darkvision 60,"Abyssal, Common, Infernal, telepathy 60",4,"Telepathic Bond, Shapechanger",Monster Manual,,Wizards of the Coast
Swarm of Bats,Medium,Beast,U,12,22,fly 30,5,15,10,2,12,4,None,None,"Bludgeoningres, piercingres, slashingres, charmedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, proneimmu, restrainedimmu, stunnedimmu",Blindsight 60,None,0.25,"Echolocation, Keen Hearing Swarm",Monster Manual,,Wizards of the Coast
Swarm of Insects,Medium,Beast,U,12,22,"20, climb 20",3,13,10,1,7,1,None,None,"Bludgeoningres, piercingres, slashingres, charmedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, proneimmu, restrainedimmu, stunnedimmu",Blindsight 10,None,0.5,Swarm,Monster Manual,,Wizards of the Coast
Swarm of Poisonous Snakes,Medium,Beast,U,14,36,"30, swim 30",8,18,11,1,10,3,None,None,"Bludgeoningres, piercingres, slashingres, charmedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, proneimmu, restrainedimmu, stunnedimmu",Blindsight 10,None,2,Swarm,Monster Manual,,Wizards of the Coast
Swarm of Quippers,Medium,Beast,U,13,28,swim 40,13,16,9,1,7,2,None,None,"Bludgeoningres, piercingres, slashingres, charmedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, proneimmu, restrainedimmu, stunnedimmu",Normal,None,1,"Blood Frenzy, Swarm, Water Breathing",Monster Manual,,Wizards of the Coast
Swarm of Rats,Medium,Beast,U,10,24,30,9,11,9,2,10,3,None,None,"Bludgeoningres, piercingres, slashingres, charmedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, proneimmu, restrainedimmu, stunnedimmu",Normal,None,0.25,"Keen Smell, Swarm",Monster Manual,,Wizards of the Coast
Swarm of Ravens,Medium,Beast,U,12,24,"10, fly 50",6,14,8,3,12,6,None,Perception,"Bludgeoningres, piercingres, slashingres, charmedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, proneimmu, restrainedimmu, stunnedimmu",Normal,None,0.25,Swarm,Monster Manual,,Wizards of the Coast
Tarrasque,Gargantuan,Monstrosity,U,25,676,40,30,11,30,3,11,11,"INT, WIS, CHA",None,"Fireimmu, poisonimmu, nonmagicalimmu, charmedimmu, frightenedimmu, paralyzedimmu, poisonedimmu",Blindsight 120,None,30,"Legendary, Magic Resistance, Reflective Carapace, Siege Monster",Monster Manual,,Wizards of the Coast
Thug,Medium,Humanoid,NOT GOOD,11,32,30,15,11,14,10,10,11,None,Intimidation,None,Normal,Any,0.5,Pack Tactics,Monster Manual,,Wizards of the Coast
Tiger,Large,Beast,U,12,37,40,17,15,14,3,12,8,None,"Perception, Stealth",None,Darkvision 60,None,1,"Keen Smell, Pounce",Monster Manual,,Wizards of the Coast
Treant,Huge,Plant,CG,16,138,30,23,8,21,12,16,12,None,None,"Bludgeoningres, piercingres, fireweak",Normal,"Common, Druidic, Elvish, Sylvan",9,"False Appearance, Siege Monster",Monster Manual,,Wizards of the Coast
Tribal Warrior,Medium,Humanoid,ANY,12,11,30,13,11,12,8,11,8,None,None,None,Normal,Any,0.125,Pack Tactics,Monster Manual,,Wizards of the Coast
Triceratops,Huge,Beast,U,13,95,50,22,9,17,2,11,5,None,None,None,Normal,None,5,Trampling Charge,Monster Manual,,Wizards of the Coast
Troll,Large,Giant,CE,15,84,30,18,13,20,7,9,7,None,Perception,None,Darkvision 60,Giant,5,"Keen Smell, Regeneration",Monster Manual,,Wizards of the Coast
Tyrannosaurus Rex,Huge,Beast,U,13,136,50,25,10,19,2,12,9,None,Perception,None,Normal,None,8,None,Monster Manual,,Wizards of the Coast
Unicorn,Large,Celestial,LG,12,67,50,18,14,15,11,17,16,None,None,"Poisonimmu, charmedimmu, paralyzedimmu, poisonedimmu",Darkvision 60,"Celestial, Elvish, Sylvan, telepathy 60",5,"Legendary, Lair, Charge, Innate Spellcasting, Magic Resistance, Magic Weapons",Monster Manual,,Wizards of the Coast
Vampire,Medium,Undead,LE,16,144,30,18,18,18,17,15,18,"DEX, WIS, CHA","Perception, Stealth","Necroticres, nonmagicalres",Darkvision 120,Any,13,"Shapechanger, Legendary, Lair, Misty Escape, Regeneration, Spider Climb, Vampire Weaknesses, Forbiddance, Harmed by Running Water, Sunlight Hypersensitivity, Stake to the Heart",Monster Manual,,Wizards of the Coast
Vampire Spawn,Medium,Undead,NE,15,82,30,16,16,16,11,10,12,"DEX, WIS","Perception, Stealth","Necroticres, nonmagicalres",Darkvision 60,Any,5,"Regeneration, Spider Climb, Vampire Weaknesses, Forbiddance, Harmed by Running Water, Stake to the Heart,  Sunlight Hypersensitivity",Monster Manual,,Wizards of the Coast
Veteran,Medium,Humanoid,ANY,17,58,30,16,13,14,10,11,10,None,"Athletics, Perception",None,Normal,Any,3,None,Monster Manual,,Wizards of the Coast
Violet Fungus,Medium,Plant,U,5,18,5,3,1,10,1,3,1,None,None,"Blindedimmu, deafenedimmu, frightenedimmu",Blindsight 30,None,0.25,False Appearance,Monster Manual,,Wizards of the Coast
Vrock,Large,Fiend (Demon),CE,15,104,"40, fly 60",17,15,18,8,13,8,"DEX, WIS, CHA",None,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",Darkvision 120,"Abyssal, telepathy 120",6,Magic Resistance,Monster Manual,,Wizards of the Coast
Vulture,Medium,Beast,U,10,5,"10, fly 50",7,10,13,2,12,4,None,Perception,None,Normal,None,0,"Keen Sight, Keen Smell, Pack Tactics",Monster Manual,,Wizards of the Coast
Warhorse,Large,Beast,U,11,19,60,18,12,13,2,12,7,None,None,None,Normal,None,0.5,Trampling Charge,Monster Manual,,Wizards of the Coast
Warhorse Skeleton,Large,Undead,LE,13,22,60,18,12,15,2,8,5,None,None,"Bludgeoningweak, poisonimmu, exhaustionimmu, poisonedimmu",Darkvision 60,None,0.5,None,Monster Manual,,Wizards of the Coast
Water Elemental,Large,Elemental,N,14,114,"30, swim 90",18,14,18,5,10,8,None,None,"Acidres, nonmagicalres, poisonimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu, unconsciousimmu",Darkvision 60,Aquan,5,"Water Form, Freeze",Monster Manual,,Wizards of the Coast
Weasel,Tiny,Beast,U,13,1,30,3,16,8,2,12,3,None,"Perception, Stealth",None,Normal,None,0,"Keen Hearing, Keen Smell",Monster Manual,,Wizards of the Coast
Werebear,Medium,Humanoid,NG,11,135,"40, climb 30",19,10,17,11,12,12,None,Perception,"Nonmagicalimmu, nonsilveredimmu",Normal,Common,5,"Shapechanger, Keen Smell",Monster Manual,,Wizards of the Coast
Wereboar,Medium,Humanoid,NE,11,78,40,17,10,15,10,11,8,None,Perception,"Nonmagicalimmu, nonsilveredimmu",Normal,Common,4,"Shapechanger, Charge, Relentless",Monster Manual,,Wizards of the Coast
Wererat,Medium,Humanoid,LE,12,33,30,10,15,12,11,10,8,None,"Perception, Stealth","Nonmagicalimmu, nonsilveredimmu",Darkvision 60,Common,2,"Shapechanger, Keen Smell",Monster Manual,,Wizards of the Coast
Weretiger,Medium,Humanoid,N,12,120,40,17,15,16,10,13,11,None,"Perception, Stealth","Nonmagicalimmu, nonsilveredimmu",Darkvision 60,Common,4,"Shapechanger, Keen Hearing, Keen Smell, Pounce",Monster Manual,,Wizards of the Coast
Werewolf,Medium,Humanoid,CE,12,58,40,15,13,14,10,11,10,None,"Perception, Stealth","Nonmagicalimmu, nonsilveredimmu",Normal,Common,3,"Shapechanger, Keen Hearing, Keen Smell",Monster Manual,,Wizards of the Coast
White Dragon Wyrmling,Medium,Dragon,CE,16,32,"30, burrow 15, fly 60, swim 30",14,10,14,5,10,11,"DEX, CON, WIS, CHA","Perception, Stealth",Coldimmu,"Blindsight 10, darkvision 60",Draconic,2,Ice Walk,Monster Manual,,Wizards of the Coast
Wight,Medium,Undead,NE,14,45,30,15,14,16,10,13,15,None,"Perception, Stealth","Necroticres, nonmagicalres, poisonimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Any,3,Sunlight Sensitivity,Monster Manual,,Wizards of the Coast
Will-o'-Wisp,Tiny,Undead,CE,19,22,fly 50,1,28,10,13,14,11,None,None,"Lightningimmu, poisonimmu, acidres, coldres, fireres, necroticres, thunderres, nonmagicalres, exhaustionimmu, grappledimmu, paralyzedimmu, poisonedimmu, proneimmu, restrainedimmu, unconsciousimmu",Darkvision 120,Any,2,"Consume Life, Ephemeral, Incorporeal Movement, Variable Illumination",Monster Manual,,Wizards of the Coast
Winter Wolf,Large,Monstrosity,NE,13,75,50,18,13,14,7,12,8,None,"Perception, Stealth",Coldimmu,Normal,"Common, Giant, Own",3,"Keen Hearing, Keen Smell, Pack Tactics, Snow Camouflage",Monster Manual,,Wizards of the Coast
Wolf,Medium,Beast,U,13,11,40,12,15,12,3,12,6,None,"Perception, Stealth",None,Normal,None,0.25,"Keen Hearing, Keen Smell, Pack Tactics",Monster Manual,,Wizards of the Coast
Worg,Large,Monstrosity,NE,13,26,50,16,13,13,7,11,8,None,Perception,None,Darkvision 60,"Goblin, Own",0.5,"Keen Hearing, Keen Smell",Monster Manual,,Wizards of the Coast
Wraith,Medium,Undead,NE,13,67,fly 60,6,16,16,12,14,15,None,None,"Acidres, coldres, fireres, lightningres, thunderres, nonmagicalres, nonsilveredres, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu",Darkvision 60,Any,5,"Incorporeal Movement, Sunlight Sensitivity",Monster Manual,,Wizards of the Coast
Wyvern,Large,Dragon,U,13,110,"20, fly 80",19,1,16,5,12,6,None,Perception,None,Darkvision 60,None,6,None,Monster Manual,,Wizards of the Coast
Xorn,Medium,Elemental,N,19,73,"20, burrow 20",17,10,22,11,10,11,None,"Perception, Stealth",Nonadamantineres,"Darkvision 60, tremorsense 60",Terran,5,"Earth Glide, Stone Camouflage, Treasure Sense",Monster Manual,,Wizards of the Coast
Young Black Dragon,Large,Dragon,CE,18,127,"40, 80 fly, swim 40",19,14,17,12,11,15,"DEX, CON, WIS, CHA","Perception, Stealth",Acidimmu,"Blindsight 10, darkvision 60",Draconic,7,Amphibious,Monster Manual,,Wizards of the Coast
Young Blue Dragon,Large,Dragon,LE,18,152,"40, 20 burrow, 80 fly",21,10,19,14,13,17,"DEX, CON, WIS, CHA","Perception, Stealth",Lightningimmu,"Blindsight 10, darkvision 60",Draconic,9,None,Monster Manual,,Wizards of the Coast
Young Brass Dragon,Large,Dragon,CG,17,110,"40, burrow 20, fly 80",19,10,17,12,11,15,"DEX, CON, WIS, CHA","Perception, Persuasion, Stealth",Fireimmu,"Blindsight 30, Darkvision 120","Common, Draconic",6,None,Monster Manual,,Wizards of the Coast
Young Bronze Dragon,Large,Dragon,LG,18,142,"40, fly 80, swim 40",21,10,19,14,13,17,"DEX, CON, WIS, CHA","Insight, Perception, Stealth",Lightningimmu,"Blindsight 30, Darkvision 120","Common, Draconic",8,Amphibious,Monster Manual,,Wizards of the Coast
Young Copper Dragon,Large,Dragon,CG,17,119,"40, climb 40, fly 80",19,12,17,16,13,15,"DEX, CON, WIS, CHA","Deception, Perception, Stealth",Acidimmu,"Blindsight 30, darkvision 120","Common, Draconic",7,None,Monster Manual,,Wizards of the Coast
Young Gold Dragon,Large,Dragon,LG,18,178,"40, fly 80, swim 40",23,14,21,16,13,20,"DEX, CON, WIS, CHA","Insight, Perception, Persuasion, Stealth",Fireimmu,"Blindsight 30, darkvision 120","Common, Draconic",10,Amphibious,Monster Manual,,Wizards of the Coast
Young Green Dragon,Large,Dragon,LE,18,136,"40, fly 80, swim 40",19,12,17,16,13,15,"DEX, CON, WIS, CHA","Deception, Perception, Stealth","Poisonimmu, poisonedimmu","Blindsight 60, darkvision 120","Common, Draconic",8,Amphibious,Monster Manual,,Wizards of the Coast
Young Red Dragon,Large,Dragon,CE,18,178,"30, climb 30, fly 60",23,10,21,14,11,19,"DEX, CON, WIS, CHA","Perception, Stealth",Fireimmu,"Blindsight 10, darkvision 60","Common, Draconic",10,None,Monster Manual,,Wizards of the Coast
Young Silver Dragon,Large,Dragon,LG,18,168,"40, fly 80",23,10,21,14,11,19,"DEX, CON, WIS, CHA","Arcana, History, Perception, Stealth",Coldimmu,"Blindsight 30, darkvision 120","Common, Draconic",9,None,Monster Manual,,Wizards of the Coast
Young White Dragon,Large,Dragon,CE,14,133,"40, burrow 20, fly 80, swim 40",18,10,18,6,11,12,"DEX, CON, WIS, CHA","Perception, Stealth",Coldimmu,"Blindsight 30, darkvision 120","Common, Draconic",6,Ice Walk,Monster Manual,,Wizards of the Coast
Zombie,Medium,Undead,NE,8,22,20,13,6,16,3,6,5,WIS,None,"Poisonimmu, poisonedimmu",Darkvision 60,Any,0.25,Undead Fortitude,Monster Manual,,Wizards of the Coast
Half-Red Dragon Veteran,Medium,Humanoid,Any,18,65,30,16,13,14,10,11,10,None,"Athletics, Perception",Fireres,"Blindside, Darkvision","Common, Draconic",5,Stuff,Stuff,,Wizards of the Coast
